投诉编号,投诉品牌,投诉车系,投诉车型,问题简述_链接,问题简述,典型问题_链接,典型问题,典型问题_链接1,典型问题2,典型问题_链接3,典型问题4,投诉时间,投诉状态
513402,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 优雅版,http://www.12365auto.com/zlts/20200824/513402.shtml,吉利帝豪GS低速时变速箱顿挫 油耗高,http://www.12365auto.com/zlts/172-1915-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/172-1915-0-0-0-0_85-0-0-0-0-0-0-1.shtml,油耗高,http://www.12365auto.com/zlts/172-1915-0-0-0-0_19-0-0-0-0-0-0-1.shtml,顿挫,2020-08-24,信息审核
513400,东风标致,标致5008,2017款 350THP 精英版 7座,http://www.12365auto.com/zlts/20200824/513400.shtml,东风标致5008转向异响4S店维修后未解决,http://www.12365auto.com/zlts/130-2102-0-0-0-4_0-0-0-0-0-0-0-1.shtml,转向系统,http://www.12365auto.com/zlts/130-2102-0-0-0-0_59-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/130-2102-0-0-0-0_0-2-0-0-0-0-0-1.shtml,人员技术,2020-08-24,信息审核
513397,奇瑞汽车,瑞虎7,2016款 1.5T 手动 电商版,http://www.12365auto.com/zlts/20200824/513397.shtml,奇瑞瑞虎7离合器不回弹导致无法挂挡,http://www.12365auto.com/zlts/219-1973-0-0-0-3_0-0-0-0-0-0-0-1.shtml,离合器,http://www.12365auto.com/zlts/219-1973-0-0-0-0_267-0-0-0-0-0-0-1.shtml,离合器失效,,,2020-08-24,信息审核
513396,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,http://www.12365auto.com/zlts/20200824/513396.shtml,一汽大众探岳大灯透镜出现裂纹亮度不足,http://www.12365auto.com/zlts/141-2395-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/141-2395-0-0-0-0_82-0-0-0-0-0-0-1.shtml,车灯不亮,http://www.12365auto.com/zlts/141-2395-0-0-0-0_220-0-0-0-0-0-0-1.shtml,灯罩裂纹或变形,2020-08-24,信息审核
513395,中兴汽车,领主,2016款 2.5T 两驱 豪华型JE4D25E,http://www.12365auto.com/zlts/20200824/513395.shtml,中兴领主三元催化器破损厂家拒绝索赔,http://www.12365auto.com/zlts/265-1986-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/265-1986-0-0-0-0_54-0-0-0-0-0-0-1.shtml,三元催化器故障,http://www.12365auto.com/zlts/265-1986-0-0-0-0_0-0-0-0-1-0-0-1.shtml,其他,2020-08-24,信息审核
513392,一汽丰田,皇冠,2015款 2.0T 时尚版,http://www.12365auto.com/zlts/20200824/513392.shtml,一汽丰田皇冠方向盘掉皮希望处理	,http://www.12365auto.com/zlts/150-287-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/150-287-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,,,2020-08-24,信息审核
513389,广汽本田,锋范经典,2012款 1.5L 手动 舒适版,http://www.12365auto.com/zlts/20200824/513389.shtml,广汽本田锋范发动机仓内部件生锈要求解决,http://www.12365auto.com/zlts/118-29-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/118-29-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,,,2020-08-24,信息审核
513387,领克汽车,领克01,2017款 2.0T 自动 两驱 型 Pro,http://www.12365auto.com/zlts/20200824/513387.shtml,领克01天窗漏水导致电路故障希望处理,http://www.12365auto.com/zlts/467-2212-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/467-2212-0-0-0-0_90-0-0-0-0-0-0-1.shtml,天窗漏水,,,2020-08-24,信息审核
513384,上汽大众,凌渡,2015款 280TSI 手动 舒适版,http://www.12365auto.com/zlts/20200824/513384.shtml,上汽大众凌渡车内异味严重希望处理,http://www.12365auto.com/zlts/140-1554-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/140-1554-0-0-0-0_185-0-0-0-0-0-0-1.shtml,车内异味,,,2020-08-24,信息审核
513379,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,http://www.12365auto.com/zlts/20200824/513379.shtml,长安马自达昂克赛拉转向沉重4S店不予解决,http://www.12365auto.com/zlts/208-1470-0-0-0-4_0-0-0-0-0-0-0-1.shtml,转向系统,http://www.12365auto.com/zlts/208-1470-0-0-0-0_156-0-0-0-0-0-0-1.shtml,打方向沉重,http://www.12365auto.com/zlts/208-1470-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,2020-08-24,信息审核
513376,吉利汽车,帝豪GL,2017款 1.8L 自动 精英型,http://www.12365auto.com/zlts/20200824/513376.shtml,吉利帝豪GL下雨时两前车门开启困难,http://www.12365auto.com/zlts/172-1974-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-1974-0-0-0-0_149-0-0-0-0-0-0-1.shtml,车门故障,,,2020-08-24,信息审核
513371,大众（进口）,Passat,2011款 2.0T 舒适型 旅行版,http://www.12365auto.com/zlts/20200824/513371.shtml,进口大众Passat半轴异响4S店不予保修,http://www.12365auto.com/zlts/142-1763-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/142-1763-0-0-0-0_227-0-0-0-0-0-0-1.shtml,半轴脱落,http://www.12365auto.com/zlts/142-1763-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,2020-08-24,信息审核
513369,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 豪华型 三厢 国V,http://www.12365auto.com/zlts/20200824/513369.shtml,长安马自达昂克赛拉行驶中发动机抖动,http://www.12365auto.com/zlts/208-1470-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/208-1470-0-0-0-0_24-0-0-0-0-0-0-1.shtml,抖动,,,2020-08-24,信息审核
513367,东风悦达起亚,KX3傲跑,2020款 1.5L CVT 智慧版,http://www.12365auto.com/zlts/20200824/513367.shtml,东风悦达起亚KX3傲跑中控屏死机中控台异响,http://www.12365auto.com/zlts/223-1579-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/223-1579-0-0-0-0_134-0-0-0-0-0-0-1.shtml,影音系统故障,http://www.12365auto.com/zlts/223-1579-0-0-0-0_93-0-0-0-0-0-0-1.shtml,中控台异响,2020-08-24,信息审核
513366,上汽大众,凌渡,2019款 280TSI DSG 豪华版 国V,http://www.12365auto.com/zlts/20200824/513366.shtml,上汽大众凌渡变速箱升挡时异响严重	,http://www.12365auto.com/zlts/140-1554-0-0-0-2_0-0-0-0-0-0-0-1.shtml,变速器,http://www.12365auto.com/zlts/140-1554-0-0-0-0_33-0-0-0-0-0-0-1.shtml,异响,,,2020-08-24,信息审核
513363,吉利汽车,帝豪GL,2017款 1.8L 自动 精英型,http://www.12365auto.com/zlts/20200824/513363.shtml,吉利帝豪GL下雨天车门无法开启希望处理,http://www.12365auto.com/zlts/172-1974-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-1974-0-0-0-0_149-0-0-0-0-0-0-1.shtml,车门故障,,,2020-08-24,信息审核
513361,上汽大众,朗逸,2018款 1.5L 自动 风尚版 经典 国VI,http://www.12365auto.com/zlts/20200824/513361.shtml,上汽大众朗逸熄火后油箱位置异响严重,http://www.12365auto.com/zlts/140-220-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/140-220-0-0-0-0_147-0-0-0-0-0-0-1.shtml,汽油箱异响,http://www.12365auto.com/zlts/140-220-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,2020-08-24,信息审核
513357,长城汽车,哈弗H6 Coupe,2016款 1.5T 自动 两驱精英型,http://www.12365auto.com/zlts/20200824/513357.shtml,哈弗H6 Coupe电子系统故障多项功能失灵,http://www.12365auto.com/zlts/388-1610-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/388-1610-0-0-0-0_110-0-0-0-0-0-0-1.shtml,电路故障,,,2020-08-24,信息审核
513350,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领锐版,http://www.12365auto.com/zlts/20200824/513350.shtml,奇瑞艾瑞泽5行驶中天窗自动开启无法关闭,http://www.12365auto.com/zlts/219-1885-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/219-1885-0-0-0-0_89-0-0-0-0-0-0-1.shtml,天窗异响,http://www.12365auto.com/zlts/219-1885-0-0-0-0_192-0-0-0-0-0-0-1.shtml,天窗开关异常,2020-08-24,信息审核
513348,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,http://www.12365auto.com/zlts/20200824/513348.shtml,东风标致3008进气系统故障发动机故障灯亮,http://www.12365auto.com/zlts/130-1228-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/130-1228-0-0-0-0_34-0-0-0-0-0-0-1.shtml,故障灯亮,,,2020-08-24,信息审核
513346,东风标致,标致408,2016款 1.6T 自动 豪华版,http://www.12365auto.com/zlts/20200824/513346.shtml,东风标致408方向盘按键有掉皮的现象,http://www.12365auto.com/zlts/130-125-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/130-125-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,,,2020-08-24,信息审核
513338,华晨宝马,宝马3系,2020款 325Li M运动曜夜套装,http://www.12365auto.com/zlts/20200824/513338.shtml,华晨宝马3系发动机热量管理模块故障,http://www.12365auto.com/zlts/125-86-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/125-86-0-0-0-0_191-0-0-0-0-0-0-1.shtml,冷却系统故障,http://www.12365auto.com/zlts/125-86-0-0-0-0_0-4-0-0-0-0-0-1.shtml,承诺不兑现,2020-08-24,信息审核
513330,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,http://www.12365auto.com/zlts/20200824/513330.shtml,上汽大众凌渡发动机爆震 变速箱顿挫有异响,http://www.12365auto.com/zlts/140-1554-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/140-1554-0-0-0-0_18-0-0-0-0-0-0-1.shtml,爆震,http://www.12365auto.com/zlts/140-1554-0-0-0-0_33-0-0-0-0-0-0-1.shtml,异响,2020-08-24,信息审核
513324,吉利汽车,帝豪GL,2017款 1.8L 自动 精英型,http://www.12365auto.com/zlts/20200824/513324.shtml,吉利帝豪GL仪表盘玻璃外罩开裂质量差,http://www.12365auto.com/zlts/172-1974-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-1974-0-0-0-0_168-0-0-0-0-0-0-1.shtml,部件开裂,,,2020-08-24,信息审核
513323,华晨宝马,宝马3系,2020款 325Li 首发版,http://www.12365auto.com/zlts/20200824/513323.shtml,华晨宝马3系左后尾灯出现裂纹厂家拒绝保修,http://www.12365auto.com/zlts/125-86-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/125-86-0-0-0-0_220-0-0-0-0-0-0-1.shtml,灯罩裂纹或变形,http://www.12365auto.com/zlts/125-86-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,2020-08-24,信息审核
513318,广汽丰田,汉兰达,2018款 2.0T 四驱 至尊版 7座 国VI,http://www.12365auto.com/zlts/20200824/513318.shtml,广汽丰田汉兰达变速箱 方向盘及刹车异响,http://www.12365auto.com/zlts/151-297-0-0-0-2_0-0-0-0-0-0-0-1.shtml,变速器,http://www.12365auto.com/zlts/151-297-0-0-0-0_33-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/151-297-0-0-0-0_59-0-0-0-0-0-0-1.shtml,异响,2020-08-24,信息审核
513317,DS汽车,DS 5LS,2014款 1.6T 自动 豪华版 THP200,http://www.12365auto.com/zlts/20200824/513317.shtml,长安标致雪铁龙DS 5LS事故车维修没有配件 ,,,http://www.12365auto.com/zlts/347-1418-0-0-0-0_0-6-0-0-0-0-0-1.shtml,配件争议,,,2020-08-24,信息审核
513310,一汽-大众奥迪,奥迪Q5,2013款 40 TFSI 自动 技术型,http://www.12365auto.com/zlts/20200824/513310.shtml,一汽大众奥迪Q5车内有异味影响身体健康,http://www.12365auto.com/zlts/114-2-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/114-2-0-0-0-0_185-0-0-0-0-0-0-1.shtml,车内异味,,,2020-08-24,信息审核
513308,上汽大众,朗逸,2017款 1.6L 手动 风尚版,http://www.12365auto.com/zlts/20200824/513308.shtml,上汽大众朗逸变速箱异响倒挡无法解除,http://www.12365auto.com/zlts/140-220-0-0-0-2_0-0-0-0-0-0-0-1.shtml,变速器,http://www.12365auto.com/zlts/140-220-0-0-0-0_33-0-0-0-0-0-0-1.shtml,异响,http://www.12365auto.com/zlts/140-220-0-0-0-0_20-0-0-0-0-0-0-1.shtml,无法换挡,2020-08-24,信息审核
513307,领克汽车,领克01,2017款 2.0T 双离合 四驱 劲Pro,http://www.12365auto.com/zlts/20200824/513307.shtml,领克01四个轮毂有不同程度氧化的现象,http://www.12365auto.com/zlts/467-2212-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/467-2212-0-0-0-0_243-0-0-0-0-0-0-1.shtml,轮毂问题,,,2020-08-24,处理反馈
513303,比亚迪,比亚迪S7,2015款 2.0T 自动 豪华型,http://www.12365auto.com/zlts/20200824/513303.shtml,比亚迪S7因偶发性漏水导致异响抖动,http://www.12365auto.com/zlts/123-1517-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/123-1517-0-0-0-0_109-0-0-0-0-0-0-1.shtml,车身漏水,,,2020-08-24,厂家受理
513302,长安汽车,锐程CC,2020款 1.5T 自动 潮锐型,http://www.12365auto.com/zlts/20200824/513302.shtml,长安锐程CC车门多处生锈 气囊故障灯亮,http://www.12365auto.com/zlts/136-2688-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/136-2688-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,http://www.12365auto.com/zlts/136-2688-0-0-0-0_103-0-0-0-0-0-0-1.shtml,气囊故障,2020-08-24,信息审核
513301,奇瑞汽车,瑞虎3x,2017款 1.5L 自动 时尚版,http://www.12365auto.com/zlts/20200824/513301.shtml,奇瑞瑞虎3x行驶过程中发动机突然熄火,http://www.12365auto.com/zlts/219-1996-0-0-0-1_0-0-0-0-0-0-0-1.shtml,发动机,http://www.12365auto.com/zlts/219-1996-0-0-0-0_14-0-0-0-0-0-0-1.shtml,熄火,,,2020-08-24,信息审核
513297,一汽-大众,速腾,2015款 230TSI  手动 豪华型,http://www.12365auto.com/zlts/20200824/513297.shtml,一汽大众速腾电网控制单元出现故障,http://www.12365auto.com/zlts/141-230-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/141-230-0-0-0-0_110-0-0-0-0-0-0-1.shtml,电路故障,,,2020-08-24,信息审核
513294,上汽通用五菱,新宝骏RM-5,2019款 1.5T CVT 24小时在线 尊贵型 6座,http://www.12365auto.com/zlts/20200824/513294.shtml,新宝骏RM-5变速箱挂挡顿挫严重 车机死机,http://www.12365auto.com/zlts/592-2636-0-0-0-2_0-0-0-0-0-0-0-1.shtml,变速器,http://www.12365auto.com/zlts/592-2636-0-0-0-0_19-0-0-0-0-0-0-1.shtml,顿挫,http://www.12365auto.com/zlts/592-2636-0-0-0-0_115-0-0-0-0-0-0-1.shtml,电脑板故障,2020-08-24,处理反馈
513290,一汽-大众,高尔夫,2019款 200TSI DSG 舒适进取版 国VI,http://www.12365auto.com/zlts/20200824/513290.shtml,一汽大众高尔夫预定与所提车型年款不同,,,http://www.12365auto.com/zlts/141-234-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,,,2020-08-24,信息审核
513288,奔驰（进口）,奔驰GLE,2016款 320 4MATIC 动感型,http://www.12365auto.com/zlts/20200824/513288.shtml,进口奔驰GLE行驶中车顶配件掉落要求处理,http://www.12365auto.com/zlts/126-1689-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/126-1689-0-0-0-0_179-0-0-0-0-0-0-1.shtml,车身装饰脱落,,,2020-08-24,信息审核
513287,上汽通用五菱,五菱宏光,2013款 1.5L 舒适型L2B,http://www.12365auto.com/zlts/20200824/513287.shtml,上汽通用五菱宏光车身生锈车漆起泡脱落,http://www.12365auto.com/zlts/247-784-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/247-784-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,http://www.12365auto.com/zlts/247-784-0-0-0-0_81-0-0-0-0-0-0-1.shtml,漆面起泡开裂,2020-08-24,处理反馈
513286,东风雪铁龙,世嘉,2016款 1.6L 手动 品尚型 经典,http://www.12365auto.com/zlts/20200824/513286.shtml,东风雪铁龙世嘉减震器弹簧断裂,http://www.12365auto.com/zlts/256-845-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/256-845-0-0-0-0_204-0-0-0-0-0-0-1.shtml,悬挂故障,,,2020-08-24,信息审核
513284,上汽大众,Polo,2016款 1.4L 自动 风尚型,http://www.12365auto.com/zlts/20200824/513284.shtml,上汽大众Polo经销商售后不退还储值卡余额,,,http://www.12365auto.com/zlts/140-1131-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/140-1131-0-0-0-0_0-4-0-0-0-0-0-1.shtml,承诺不兑现,2020-08-24,信息审核
